Pastas & Noodles,14,,,,,,,,,
*,3,Gluten-Free,Whole-Wheat,Quinoa,Creamy,Baked,N/A,,,
,,2,1,2.5,0.5,0,,,,
,,,,,,,,,,
*,1,Spaghetti,Spaghetti Carbonara,Penne,Farfalle,Rigatoni,Fusilli,,,
,,,,,,,,,,
,,,,,,,,,,
*,both,w/,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
*,1,Mushroom,Tomato Sauce,Eggplant,Shrimp,Crème Fraîche,Broccoli,Peas,Zucchini,Chicken
,,1,-1.5,0,2,0,1,0.5,0.5,1.5
,,,,,,,,,,
,2,Mushroom Bolognese,Peanut Butter Sauce,Veal Meatballs,Almonds,Parmesan,Blueberry Sauce,Béarnaise sauce,,
,,1.5,0,2.5,1.5,-0.5,0,1,,
,,,,,,,,,,
*,both,and,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
*,3,Curry-Roasted Cauliflower,Venison Bolognese,Raisins,Smoked Salmon,Hazelnuts,XO Sauce,,,
,,1.5,5,-0.5,3.5,2,2,,,
,,3,,,,,,,,
,4,Summer Vegetable Sauce,Vodka Sause,Pork Brain,Fiber-Reinforced Plastic,Oyster Sauce,Canned Peaches,,,
,,0,1.5,3.5,-2,1.5,2,,,
,,,1,,2,,,,,
