Soup & Stew,10,,,,,,,,,,,
*,2,Roasted,Butternut,Classic,German,Garlic,Spiced,Hot and Sour,Curry,Extra Hot,,
,,,,,,,,,,,,
,,,,,,1,,2,1,4,,
,3,Vegetarian,Dehydrated,Chilled,Grandson's,Creamy,Hungarian,Moroccan,Delightful,N/A,,
,,,,,,,,,,,,
,,,,,,,,,,,,
*,1,Cream,Squash,Spinach,Beet,Chicken,Mushroom,ChicKpea ,Black Bean,Pea,Carrot,Cauliflower
,,0,0,-1.5,-1,2,1,1,0,0,-1.5,-1
,,,,,,,,,,,,
,2,Piquillo Pepper,Carb,Shellfish,Egg Drop,White Bean,Crystal-Clear,Coconut,Lobster,Apple,Asparagus Soup,
,,0,2.5,3.5,-1.5,0,3.5,2,5,-2,0,
,,3,,,,,,,,,,
*,1,soup,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
*,next,with,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
*,2,Ancho and Orange,Tomato and Lime,Baby Turnips,Chicken Meatballs,Broccoli,Bacon,Ground almonds,Pecan,Kale,N/A,
,,1,0.5,0.5,1.5,0,1,1,2,0,,
,,,,,,,,,,,,
,3,Bacon Sabayon,Dumplins,Black Olive Croutons,Ground Crayfish Shell,Salami,Raw Sausage,Cumin,Synthetic Saliva,A Long Inhale,,
,,2,1,0.5,1,1.5,2.5,0,3.5,2,,
,,1,,,,,,,,,,
